annotator	scene_index	rating	rationale
4	11	3	Juliets' nurse finally tells her the plan on how she can marry Romeo
4	12	5	They get married.
4	13	-5	Romeo kills Tybalt.
4	14	-4	Juliet thinks Romeo dies, then finds out he is banished.
4	15	-2	Romeo is distraught about being banished, but then gets the ring from Juliet.
4	16	0	Capulet is discussing when Juliet will wed Paris.
4	17	-5	Juliet's parents tell her she must marry Paris, and her nurse turns on her.
4	18	0	The Friar recommends that Juliet agree to marry Paris, and introduces the plan of the sleeping potion.
4	19	1	Juliet tells her parents she will marry Paris, but only as a ploy.
4	20	-2	Juliet drinks the potion, but is afraid of what it will really do.
4	21	0	They are preparing for the wedding and go to wake Juleit up.
4	22	-5	Everyone thinks Juliet is dead and go into mourning.
4	23	-5	Romeo thinks Juliet is dead and buys poison to kill himself.
4	24	-5	The Friar is upset because he realizes that his letter didn
4	25	-5	{As Romeo goes to the grave, sees Paris, they get in a fight and Romeo kills Paris, then kills himself, then Juliet wakes up, sees Romeo dead and kills herself.}

